Group,Model Name,Model ID,Property,Symbol,Parameter 1 Name,Parameter 1 Symbol
General,Classification,classification,Material class,,,
,,,Material family,,,
,,,Material sub-class,,,
,,,Material form,,,
,,,Material state,,,
General,Description,description,Description,,,
,,,Estimation notes,,,
,,,Extrapolation note,,,
General,Rendering,rendering,Red,R,,
,,,Green,G,,
,,,Blue,B,,
,,,Opacity,,,
,,,Metallic finish,,,
Physical,Density,density,Density,rho,,
Elastic,"Elasticity, isotropic",elasticity.isotropic,Tensile modulus,E,,
,,,Poisson's ratio,v,,
Elastic,"Elasticity, isotropic with temperature",elasticity.isotropic.with.temp,Tensile modulus,E,Temperature,T
,,,Poisson's ratio,v,Temperature,T
Elastic,"Elasticity, orthotropic",elasticity.orthotropic,"Tensile modulus, xy direction",,,
,,,"Tensile modulus, z direction",,,
Plasticity,Simple failure,simple.failure,"Tensile strength, yield",YS,,
,,,"Tensile strength, ultimate",UTS,,
,,,Tensile elongation,e,,
Thermal,Specific heat capacity,specific.heat.capacity,Specific heat capacity,Cp,,
Thermal,Thermal conductivity,thermal.conductivity,Thermal conductivity,k,,
Thermal,Thermal conductivity with temperature,thermal.conductivity.with.temp,Thermal conductivity,k,Temperature,T
Thermal,Thermal expansion coefficient,thermal.expansion.coefficient,Thermal expansion coefficient,CTE,,
Thermal,Thermal expansion coefficient with temperature,thermal.expansion.coefficient.with.temp,Thermal expansion coefficient,CTE,Temperature,T
,,,Reference temperature,,,
Thermal,"Thermal expansion coefficient, orthotropic",thermal.expansion.coefficient.orthotropic,"Thermal expansion coefficient, xy direction",CTExy,,
,,,"Thermal expansion coefficient, z direction",CTEz,,
Thermal,Glass transition temperature,glass.transition.temperature,Glass transition temperature,Tg,,
